ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer
5524,1957,Graduation,Single,58138.0,0,0,04-09-2012
2174,1954,Graduation,Single,46344.0,1,1,08-03-2014
4141,1965,Graduation,Together,71613.0,0,0,21-08-2013
6182,1984,Graduation,Together,26646.0,1,0,10-02-2014
5324,1981,PhD,Married,58293.0,1,0,19-01-2014
7446,1967,Master,Together,62513.0,0,1,09-09-2013
965,1971,Graduation,Divorced,55635.0,0,1,13-11-2012
6177,1985,PhD,Married,33454.0,1,0,08-05-2013
4855,1974,PhD,Together,30351.0,1,0,06-06-2013
5899,1950,PhD,Together,5648.0,1,1,13-03-2014
1994,1983,Graduation,Married,,1,0,15-11-2013
387,1976,Basic,Married,7500.0,0,0,13-11-2012
2125,1959,Graduation,Divorced,63033.0,0,0,15-11-2013
8180,1952,Master,Divorced,59354.0,1,1,15-11-2013
2569,1987,Graduation,Married,17323.0,0,0,10-10-2012
2114,1946,PhD,Single,82800.0,0,0,24-11-2012
9736,1980,Graduation,Married,41850.0,1,1,24-12-2012
4939,1946,Graduation,Together,37760.0,0,0,31-08-2012
6565,1949,Master,Married,76995.0,0,1,28-03-2013
2278,1985,2n Cycle,Single,33812.0,1,0,03-11-2012
9360,1982,Graduation,Married,37040.0,0,0,08-08-2012
5376,1979,Graduation,Married,2447.0,1,0,06-01-2013
1993,1949,PhD,Married,58607.0,0,1,23-12-2012
4047,1954,PhD,Married,65324.0,0,1,11-01-2014
1409,1951,Graduation,Together,40689.0,0,1,18-03-2013
7892,1969,Graduation,Single,18589.0,0,0,02-01-2013
2404,1976,Graduation,Married,53359.0,1,1,27-05-2013
5255,1986,Graduation,Single,,1,0,20-02-2013
9422,1989,Graduation,Married,38360.0,1,0,31-05-2013
1966,1965,PhD,Married,84618.0,0,0,22-11-2013
6864,1989,Master,Divorced,10979.0,0,0,22-05-2014
3033,1963,Master,Together,38620.0,0,0,11-05-2013
5710,1970,Graduation,Together,40548.0,0,1,10-10-2012
7373,1952,PhD,Divorced,46610.0,0,2,29-10-2012
8755,1946,Master,Married,68657.0,0,0,20-02-2013
10738,1951,Master,Single,49389.0,1,1,29-08-2013
4339,1970,PhD,Married,67353.0,0,1,31-12-2013
10755,1976,2n Cycle,Married,23718.0,1,0,02-09-2013
8595,1973,Graduation,Widow,42429.0,0,1,11-02-2014
